# Constructed from biom file
#OTU ID	WT.day3.11	WT.day3.13	WT.day3.14	WT.day3.15	WT.day3.9	WT.unt.1	WT.unt.2	WT.unt.3	WT.unt.4	WT.unt.7
Unassigned;Other;Other	0.00043159257660768235	0.000213903743315508	0.00025687130747495504	0.0	0.0	0.003092075125973431	0.004183128050197537	0.0027513470136420956	0.0029926335174953965	0.0005763024435223605
k__Bacteria;Other;Other	0.0	0.0	0.0	0.0	0.0	0.00022904260192395785	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0	0.0	0.0003853069612124326	0.0	0.0	0.0	0.00034859400418312805	0.0005731972945087699	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.006797583081570998	0.02481283422459893	0.007192396609298742	0.03233939925454944	0.0036641879512878542	0.0	0.0006971880083662561	0.00034391837670526195	0.00011510128913443831	0.0009220839096357768
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.7150410012947763	0.7435294117647074	0.5865656306190598	0.3131988598991443	0.8167906024356075	0.41674301420063975	0.5608877527306566	0.6848561274790811	0.33989410681399745	0.5073766712770859
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.00012843565373747752	0.0	0.0	0.00022904260192395785	0.0	0.0	0.00011510128913443831	0.0001152604887044721
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	0.0017980991523246853	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.0	0.0	0.0	0.0	0.00961978928080623	0.005112712061352545	0.009973632924452596	0.010474217311233887	0.0029967727063162745
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.014086120018323408	0.013595166163141994	0.0025220680958385876	0.014502762430939226	0.00818349469801752
k__Bacteria;p__Firmicutes;c__Bacilli	0.006473888649115235	0.000748663101604278	0.00025687130747495504	0.010414382810787109	0.0008621618708912599	0.0036646816307833257	0.00023239600278875203	0.006763728075203485	0.004258747697974217	0.0026509912402028586
k__Bacteria;p__Firmicutes;c__Clostridia	0.0038843331894691416	0.003315508021390374	0.005394297456974056	0.0057005042753782076	0.011854725724754824	0.5261108566193305	0.3913548686962605	0.24762123122778762	0.6054327808471426	0.4438681420009215
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.0	0.0	0.0003853069612124326	0.0	0.00021554046772281495	0.00034356390288593677	0.00046479200557750407	0.0024074286369368337	0.0003453038674033149	0.0009220839096357768
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0	0.0009625668449197861	0.003981505265861803	0.0	0.0	0.0010306917086578104	0.0025563560306762724	0.0010317551301157859	0.0008057090239410681	0.0002305209774089442
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.10627967198964178	0.0013903743315508024	0.003724633958386848	0.0023021267265950444	0.11973272982002373	0.0075584058634906096	0.01045782012549384	0.02361572853376132	0.003913443830570903	0.0049562010142922995
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.008245533669262482	0.006739484080873809	0.005044136191677175	0.010013812154696133	0.009105578607653297
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.16109192921881732	0.2250267379679147	0.38993064474698214	0.6360447270335452	0.046880051729712276	0.0	0.0	0.00011463945890175398	0.0005755064456721916	0.0001152604887044721
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	0.0	0.0	0.0	0.005038937242327073	0.0024401580292818963	0.006419809698498223	0.004488950276243094	0.008298755186721992
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	0.0	0.0	0.0	0.0	0.0004580852038479157	0.0006971880083662561	0.005158775650578929	0.0003453038674033149	0.0004610419548178884
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.0	0.0	0.0	0.0	0.0035501603298213466	0.00023239600278875203	0.0008024762123122779	0.0017265193370165745	0.009220839096357769
