# Constructed from biom file
#OTU ID	WT.day3.11	WT.day3.13	WT.day3.14	WT.day3.15	WT.day3.9	WT.unt.1	WT.unt.2	WT.unt.3	WT.unt.4	WT.unt.7
Unassigned;Other	0.00043159257660768235	0.000213903743315508	0.00025687130747495504	0.0	0.0	0.003092075125973431	0.004183128050197537	0.0027513470136420956	0.0029926335174953965	0.0005763024435223605
k__Bacteria;Other	0.0	0.0	0.0	0.0	0.0	0.00022904260192395785	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.006797583081570998	0.02481283422459893	0.007577703570511174	0.03233939925454944	0.0036641879512878542	0.0	0.0010457820125493841	0.0009171156712140319	0.00011510128913443831	0.0009220839096357768
k__Bacteria;p__Bacteroidetes	0.7150410012947763	0.7435294117647074	0.5884921654251218	0.3131988598991443	0.8167906024356075	0.41697205680256366	0.5608877527306566	0.6848561274790811	0.3400092081031319	0.5074919317657903
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.00961978928080623	0.005112712061352545	0.009973632924452596	0.010474217311233887	0.0029967727063162745
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.014086120018323408	0.013595166163141994	0.0025220680958385876	0.014502762430939226	0.00818349469801752
k__Bacteria;p__Firmicutes	0.010358221838584375	0.004064171122994652	0.006036475725661444	0.016114887086165316	0.0129324280633689	0.530119102153	0.3920520567046268	0.25679238793992837	0.6100368324125202	0.44744121715076013
k__Bacteria;p__Proteobacteria	0.26737160120845893	0.22737967914438534	0.39763678397123087	0.6383468537601401	0.166612781549736	0.016834631241410904	0.01975366023704392	0.029806259314456032	0.015308471454880294	0.01440756108805901
k__Bacteria;p__TM7	0.0	0.0	0.0	0.0	0.0	0.005038937242327073	0.0024401580292818963	0.006419809698498223	0.004488950276243094	0.008298755186721992
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0004580852038479157	0.0006971880083662561	0.005158775650578929	0.0003453038674033149	0.0004610419548178884
k__Bacteria;p__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0035501603298213466	0.00023239600278875203	0.0008024762123122779	0.0017265193370165745	0.009220839096357769
