	sequences per sample	iteration	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
alpha_rarefaction_3118_9.txt	3118	9	139.0	98.0	458.0	448.0	474.0	456.0	439.0	121.0	95.0	105.0
alpha_rarefaction_3895_0.txt	3895	0	144.0	95.0	513.0	516.0	541.0	524.0	499.0	117.0	129.0	114.0
alpha_rarefaction_3895_1.txt	3895	1	167.0	112.0	516.0	510.0	524.0	513.0	509.0	122.0	110.0	115.0
alpha_rarefaction_3895_2.txt	3895	2	146.0	101.0	504.0	513.0	528.0	535.0	489.0	127.0	117.0	117.0
alpha_rarefaction_3895_3.txt	3895	3	150.0	101.0	525.0	501.0	523.0	538.0	514.0	122.0	109.0	110.0
alpha_rarefaction_3895_4.txt	3895	4	160.0	106.0	500.0	504.0	513.0	528.0	505.0	123.0	120.0	118.0
alpha_rarefaction_3895_5.txt	3895	5	149.0	110.0	513.0	511.0	513.0	514.0	495.0	116.0	114.0	109.0
alpha_rarefaction_3895_6.txt	3895	6	153.0	110.0	531.0	510.0	524.0	518.0	516.0	130.0	117.0	111.0
alpha_rarefaction_3895_7.txt	3895	7	144.0	101.0	496.0	496.0	524.0	541.0	502.0	126.0	108.0	115.0
alpha_rarefaction_3895_8.txt	3895	8	150.0	102.0	515.0	496.0	543.0	516.0	502.0	126.0	108.0	112.0
alpha_rarefaction_3895_9.txt	3895	9	148.0	102.0	522.0	501.0	508.0	519.0	491.0	126.0	110.0	107.0
alpha_rarefaction_4672_0.txt	4672	0	166.0	122.0	557.0	538.0	561.0	557.0	556.0	136.0	125.0	131.0
alpha_rarefaction_4672_1.txt	4672	1	169.0	112.0	553.0	540.0	574.0	553.0	562.0	128.0	115.0	111.0
alpha_rarefaction_4672_2.txt	4672	2	166.0	113.0	563.0	545.0	550.0	553.0	542.0	138.0	125.0	119.0
alpha_rarefaction_4672_3.txt	4672	3	164.0	116.0	546.0	555.0	551.0	569.0	581.0	136.0	124.0	125.0
alpha_rarefaction_4672_4.txt	4672	4	153.0	122.0	553.0	545.0	550.0	573.0	560.0	142.0	123.0	125.0
alpha_rarefaction_4672_5.txt	4672	5	165.0	114.0	556.0	567.0	558.0	562.0	548.0	125.0	126.0	122.0
alpha_rarefaction_4672_6.txt	4672	6	164.0	112.0	569.0	547.0	556.0	587.0	540.0	140.0	124.0	125.0
alpha_rarefaction_4672_7.txt	4672	7	168.0	110.0	546.0	542.0	562.0	563.0	566.0	131.0	123.0	125.0
alpha_rarefaction_4672_8.txt	4672	8	171.0	117.0	560.0	540.0	535.0	588.0	579.0	128.0	120.0	112.0
alpha_rarefaction_4672_9.txt	4672	9	161.0	113.0	569.0	553.0	568.0	585.0	557.0	135.0	126.0	126.0
alpha_rarefaction_5449_0.txt	5449	0	176.0	130.0	600.0	598.0	611.0	607.0	595.0	145.0	131.0	133.0
alpha_rarefaction_5449_1.txt	5449	1	178.0	126.0	601.0	577.0	595.0	609.0	587.0	145.0	127.0	139.0
alpha_rarefaction_5449_2.txt	5449	2	173.0	118.0	584.0	580.0	595.0	594.0	588.0	148.0	121.0	138.0
alpha_rarefaction_5449_3.txt	5449	3	172.0	118.0	583.0	605.0	600.0	622.0	600.0	142.0	134.0	141.0
alpha_rarefaction_5449_4.txt	5449	4	175.0	123.0	603.0	588.0	604.0	613.0	585.0	148.0	139.0	140.0
alpha_rarefaction_5449_5.txt	5449	5	171.0	121.0	599.0	595.0	590.0	613.0	604.0	145.0	128.0	135.0
alpha_rarefaction_5449_6.txt	5449	6	172.0	112.0	583.0	599.0	601.0	596.0	592.0	151.0	128.0	140.0
alpha_rarefaction_5449_7.txt	5449	7	171.0	121.0	605.0	595.0	605.0	613.0	617.0	150.0	138.0	132.0
alpha_rarefaction_5449_8.txt	5449	8	179.0	126.0	595.0	604.0	597.0	613.0	607.0	151.0	136.0	136.0
alpha_rarefaction_5449_9.txt	5449	9	176.0	125.0	596.0	601.0	606.0	615.0	600.0	148.0	130.0	130.0
alpha_rarefaction_6226_0.txt	6226	0	179.0	141.0	631.0	630.0	627.0	643.0	634.0	156.0	141.0	147.0
alpha_rarefaction_6226_1.txt	6226	1	184.0	130.0	625.0	633.0	633.0	644.0	637.0	155.0	126.0	151.0
alpha_rarefaction_6226_2.txt	6226	2	179.0	130.0	625.0	639.0	641.0	648.0	642.0	156.0	140.0	152.0
alpha_rarefaction_6226_3.txt	6226	3	181.0	132.0	634.0	628.0	629.0	632.0	633.0	159.0	143.0	154.0
alpha_rarefaction_6226_4.txt	6226	4	182.0	128.0	639.0	641.0	624.0	655.0	638.0	158.0	140.0	151.0
alpha_rarefaction_6226_5.txt	6226	5	179.0	133.0	624.0	637.0	620.0	647.0	640.0	157.0	142.0	146.0
alpha_rarefaction_6226_6.txt	6226	6	185.0	124.0	628.0	615.0	631.0	634.0	618.0	157.0	148.0	153.0
alpha_rarefaction_6226_7.txt	6226	7	176.0	132.0	627.0	625.0	634.0	652.0	612.0	153.0	142.0	149.0
alpha_rarefaction_6226_8.txt	6226	8	184.0	130.0	626.0	623.0	638.0	631.0	631.0	151.0	139.0	142.0
alpha_rarefaction_6226_9.txt	6226	9	180.0	136.0	617.0	639.0	624.0	654.0	615.0	162.0	137.0	140.0
alpha_rarefaction_7003_0.txt	7003	0	191.0	143.0	651.0	679.0	668.0	665.0	661.0	160.0	155.0	159.0
alpha_rarefaction_7003_1.txt	7003	1	192.0	139.0	655.0	659.0	653.0	679.0	661.0	165.0	150.0	151.0
alpha_rarefaction_7003_2.txt	7003	2	187.0	139.0	661.0	667.0	660.0	677.0	665.0	163.0	140.0	150.0
alpha_rarefaction_7003_3.txt	7003	3	186.0	133.0	662.0	677.0	662.0	684.0	669.0	162.0	147.0	151.0
alpha_rarefaction_7003_4.txt	7003	4	189.0	141.0	672.0	676.0	652.0	680.0	657.0	166.0	147.0	149.0
alpha_rarefaction_7003_5.txt	7003	5	189.0	139.0	663.0	667.0	653.0	688.0	675.0	164.0	150.0	166.0
alpha_rarefaction_7003_6.txt	7003	6	188.0	141.0	654.0	655.0	661.0	676.0	663.0	166.0	147.0	163.0
alpha_rarefaction_7003_7.txt	7003	7	188.0	136.0	670.0	665.0	672.0	674.0	657.0	164.0	141.0	152.0
alpha_rarefaction_7003_8.txt	7003	8	190.0	142.0	656.0	668.0	669.0	692.0	649.0	164.0	146.0	152.0
alpha_rarefaction_7003_9.txt	7003	9	189.0	142.0	664.0	676.0	665.0	665.0	666.0	166.0	149.0	157.0
alpha_rarefaction_7780_0.txt	7780	0	194.0	139.0	686.0	702.0	700.0	710.0	698.0	175.0	164.0	155.0
alpha_rarefaction_7780_1.txt	7780	1	194.0	139.0	680.0	697.0	687.0	711.0	699.0	172.0	156.0	159.0
alpha_rarefaction_7780_2.txt	7780	2	194.0	147.0	685.0	691.0	692.0	704.0	695.0	173.0	153.0	171.0
alpha_rarefaction_7780_3.txt	7780	3	193.0	145.0	681.0	693.0	697.0	711.0	693.0	174.0	155.0	167.0
alpha_rarefaction_7780_4.txt	7780	4	194.0	148.0	677.0	693.0	686.0	713.0	697.0	167.0	157.0	164.0
alpha_rarefaction_7780_5.txt	7780	5	194.0	145.0	684.0	701.0	697.0	708.0	686.0	172.0	158.0	154.0
alpha_rarefaction_7780_6.txt	7780	6	194.0	143.0	691.0	709.0	685.0	708.0	700.0	166.0	159.0	161.0
alpha_rarefaction_7780_7.txt	7780	7	193.0	146.0	685.0	699.0	695.0	703.0	697.0	173.0	158.0	171.0
alpha_rarefaction_7780_8.txt	7780	8	194.0	144.0	676.0	694.0	694.0	704.0	700.0	172.0	153.0	168.0
alpha_rarefaction_7780_9.txt	7780	9	194.0	145.0	678.0	685.0	689.0	704.0	695.0	171.0	157.0	166.0
