	sequences per sample	iteration	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
alpha_rarefaction_10_0.txt	10	0	1.0204	1.19742	1.4436199999999995	1.5656100000000002	1.3663099999999997	1.7485399999999998	2.0823199999999993	1.35229	1.4926499999999998	0.87131
alpha_rarefaction_10_1.txt	10	1	0.9181800000000001	1.3134000000000001	1.8883700000000005	1.63065	2.19231	2.18327	1.9153100000000005	1.39009	1.15173	1.2609100000000002
alpha_rarefaction_10_2.txt	10	2	0.90633	1.11724	2.25469	1.58763	1.1755000000000002	1.5534700000000001	1.4999500000000003	1.7815499999999997	1.70085	1.00558
alpha_rarefaction_10_3.txt	10	3	1.17986	1.4813800000000001	1.64798	1.7509900000000003	1.50844	2.2336099999999997	1.4512800000000001	1.28787	1.00454	0.87131
alpha_rarefaction_10_4.txt	10	4	1.0873499999999998	1.25933	1.4905	1.7879600000000002	1.4290599999999998	1.9595900000000002	1.8874900000000003	1.32478	1.4416200000000001	1.13384
alpha_rarefaction_10_5.txt	10	5	1.01678	0.87131	1.5472999999999995	1.2114499999999995	1.7883199999999997	2.2044300000000003	1.6812899999999995	1.02486	1.1287399999999999	0.87131
alpha_rarefaction_10_6.txt	10	6	1.01117	0.87131	1.72856	1.3491300000000002	1.0292500000000002	2.0503	1.69326	1.13625	1.5515100000000002	1.3489
alpha_rarefaction_10_7.txt	10	7	1.15112	0.8713100000000001	1.5685100000000003	1.5145700000000002	2.09103	1.9704000000000002	1.60747	1.26107	1.25419	1.2488499999999998
alpha_rarefaction_10_8.txt	10	8	1.30186	0.87131	1.6963000000000001	1.7905500000000003	1.5295999999999996	1.20332	1.76823	1.2918800000000001	1.42872	1.1633
alpha_rarefaction_10_9.txt	10	9	1.29295	0.87131	1.19513	1.8451	1.0189400000000002	1.2018199999999999	1.5869400000000002	1.17194	0.9724200000000001	1.13281
alpha_rarefaction_787_0.txt	787	0	4.157170000000003	3.733010000000001	12.42595999999999	12.085879999999989	12.435499999999989	12.206919999999988	12.232379999999994	5.147330000000001	5.097849999999999	3.3492100000000025
alpha_rarefaction_787_1.txt	787	1	4.652370000000002	3.7394800000000004	11.68542	12.771600000000001	11.992739999999998	12.803539999999998	12.240019999999994	4.638019999999999	5.330679999999997	3.4702500000000014
alpha_rarefaction_787_2.txt	787	2	4.649890000000001	4.542880000000004	12.111469999999992	11.114419999999987	12.765239999999988	12.917629999999985	12.020979999999986	4.8599000000000006	4.945179999999996	4.038420000000001
alpha_rarefaction_787_3.txt	787	3	4.573120000000004	3.8218700000000028	12.177929999999991	11.828719999999988	11.870309999999984	14.009109999999987	11.506289999999984	4.1513000000000035	4.497960000000002	4.448180000000005
alpha_rarefaction_787_4.txt	787	4	4.368410000000004	4.767970000000002	12.574699999999991	12.17163999999999	11.96439999999999	12.643419999999978	11.561999999999983	4.9261300000000015	4.311040000000003	3.885250000000001
alpha_rarefaction_787_5.txt	787	5	4.227790000000004	4.0669	12.942329999999988	13.276519999999989	11.912639999999989	12.802189999999985	12.188429999999993	4.984090000000005	4.878650000000002	3.45462
alpha_rarefaction_787_6.txt	787	6	5.014210000000003	3.357260000000001	12.506019999999994	12.187630000000006	11.915329999999996	12.81124999999999	11.780220000000005	4.896150000000004	4.378300000000001	3.6146899999999986
alpha_rarefaction_787_7.txt	787	7	4.96909	5.199729999999999	11.400099999999997	13.016169999999997	11.872399999999994	13.480529999999993	12.154059999999996	4.59264	4.656249999999999	4.314790000000003
alpha_rarefaction_787_8.txt	787	8	4.221180000000005	3.4633600000000015	11.930490000000006	12.330769999999998	11.9023	13.744260000000002	12.548309999999994	3.6818500000000007	4.6682500000000005	3.4333799999999997
alpha_rarefaction_787_9.txt	787	9	4.3794100000000045	3.4978400000000014	12.887369999999992	12.712449999999995	12.439589999999992	12.710059999999986	12.569510000000001	4.606450000000003	4.609340000000002	3.1471899999999997
alpha_rarefaction_1564_0.txt	1564	0	5.460090000000001	4.9616000000000025	15.61283999999998	15.66010999999999	14.922819999999987	17.15084000000001	15.506419999999991	5.911609999999996	5.5097899999999935	5.790139999999996
alpha_rarefaction_1564_1.txt	1564	1	5.8676400000000015	5.297030000000005	14.844720000000004	15.261849999999994	14.800949999999997	15.357679999999995	14.371529999999998	5.779030000000001	5.461780000000001	5.9550300000000025
alpha_rarefaction_1564_2.txt	1564	2	5.671519999999998	5.3487800000000005	14.310969999999992	15.641400000000006	15.07620999999998	15.698549999999978	14.471349999999994	5.885989999999998	5.535809999999997	5.334000000000001
alpha_rarefaction_1564_3.txt	1564	3	6.664809999999997	5.61325	14.511589999999975	13.965829999999979	15.433269999999977	16.079019999999975	15.113069999999992	6.182849999999999	5.4337499999999945	4.420890000000006
alpha_rarefaction_1564_4.txt	1564	4	6.282359999999997	4.843390000000005	15.283619999999987	14.982439999999988	15.074229999999984	16.350769999999994	14.845839999999988	6.191279999999997	5.390139999999996	4.582000000000003
alpha_rarefaction_1564_5.txt	1564	5	5.644230000000002	5.475690000000002	15.293599999999987	14.851569999999985	15.148259999999992	16.94982	14.651149999999987	5.202050000000004	5.240950000000001	4.8496900000000025
alpha_rarefaction_1564_6.txt	1564	6	5.195400000000001	5.362480000000004	14.803309999999978	14.578469999999989	14.902189999999989	16.18206999999999	15.263459999999995	6.014069999999998	5.070640000000002	5.036370000000003
