# Constructed from biom file
#OTU ID	WT.day3.11	WT.day3.13	WT.day3.14	WT.day3.15	WT.day3.9	WT.unt.1	WT.unt.2	WT.unt.3	WT.unt.4	WT.unt.7
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.0014026758739749676	0.0020320855614973264	0.0008990495761623427	0.00197325147993861	0.0011854725724754823	0.3852496564360964	0.2730653032767842	0.16542473919523065	0.3981353591160232	0.3114338404794834
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.00011619800139437602	0.0	0.00011510128913443831	0.0002305209774089442
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.0	0.0	0.0	0.0	0.0	0.001374255611543747	0.0012781780153381362	0.0013756735068210478	0.0006906077348066299	0.0013831258644536651
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus	0.0	0.0	0.0	0.0	0.0	0.00022904260192395785	0.00023239600278875203	0.0005731972945087699	0.0	0.0001152604887044721
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.0	0.0	0.00012843565373747752	0.0	0.00021554046772281495	0.0	0.0	0.00022927891780350797	0.0027624309392265192	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	0.0	0.0	0.0	0.0	0.0	0.0044663307375171785	0.0018591680223100163	0.0018342313424280637	0.004373848987108655	0.0033425541724296914
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	0.0	0.0	0.0	0.0	0.0	0.0006871278057718735	0.0005809900069718801	0.00022927891780350797	0.00046040515653775324	0.001037344398340249
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0.0	0.000213903743315508	0.00025687130747495504	0.0	0.0	0.027370590929912973	0.029398094352777127	0.018571592342084137	0.0735497237569061	0.037113877362840005
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	0.0	0.0	0.0	0.0	0.0	0.0028630325240494733	0.0032535440390425285	0.0019488708013298177	0.0035681399631675875	0.0014983863531581373
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	0.0	0.0	0.0	0.0	0.0	0.0008016491067338524	0.0005809900069718801	0.00011463945890175398	0.0	0.0001152604887044721
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	0.0	0.0	0.0	0.0	0.0	0.0017178195144296837	0.0019753660237043923	0.0033245443081508655	0.0026473296500920816	0.001152604887044721
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0006871278057718735	0.00011619800139437602	0.00034391837670526195	0.00011510128913443831	0.00034578146611341634
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0008016491067338524	0.004647920055775041	0.00034391837670526195	0.003683241252302026	0.00437989857076994
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	0.00043159257660768235	0.000213903743315508	0.0	0.00021925016443762334	0.0	0.02462207970682547	0.023007204276086452	0.016622721540754323	0.03211325966850828	0.034117104656523733
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	0.0011868795856711265	0.000748663101604278	0.0	0.003398377548783162	0.0007543916370298522	0.058749427393495174	0.03811294445735532	0.02992089877335776	0.07481583793738493	0.03930382664822497
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	0.0008631851532153647	0.000106951871657754	0.004109940919599281	0.00010962508221881167	0.009699321047526674	0.01591846083371507	0.011852196142226351	0.005961251862891207	0.007596685082872928	0.007261410788381741
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	0.0	0.0	0.0	0.0	0.0	0.00022904260192395785	0.0012781780153381362	0.0008024762123122779	0.0005755064456721916	0.001037344398340249
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	0.0	0.0	0.0003853069612124326	0.0	0.0	0.00022904260192395785	0.00034859400418312805	0.0022927891780350797	0.0	0.0009220839096357768
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum	0.0	0.0	0.0	0.0	0.00021554046772281495	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus	0.0	0.0	0.0	0.0	0.0	0.00011452130096197893	0.00011619800139437602	0.00011463945890175398	0.0003453038674033149	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__	0.0	0.0009625668449197861	0.003981505265861803	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0010306917086578104	0.0025563560306762724	0.0010317551301157859	0.0008057090239410681	0.0002305209774089442
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other;Other	0.0	0.0	0.0006421782686873876	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__	0.0	0.0	0.0006421782686873876	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	0.0	0.0	0.002183406113537118	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella	0.10627967198964178	0.0013903743315508024	0.0	0.0023021267265950444	0.11973272982002373	0.0075584058634906096	0.01045782012549384	0.02361572853376132	0.003913443830570903	0.0049562010142922995
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	0.0	0.0	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0019468621163536417	0.0005809900069718801	0.00034391837670526195	0.0017265193370165745	0.00034578146611341634
